,year,site,plot,Pool,Seed.density,alpha.hill1,beta.tot
169,2018,Crooked Tongue,7,High diversity,700,1.44299188,0.197268992
170,2018,Crooked Tongue,8,High diversity,970,3.388143619,0.615477076
171,2018,Crooked Tongue,9,High diversity,700,1.381209413,0.294186609
172,2018,Depression,1,High diversity,970,5.176061447,0.589493749
173,2018,Depression,10,High diversity,485,3.2597625,0.367318331
174,2018,Depression,11,High diversity,970,2.022189338,0.70118219
175,2018,Depression,12,High diversity,270,1,0.627301618
176,2018,Depression,13,Low diversity,700,2,0.513219123
177,2018,Depression,14,High diversity,485,3.277316809,0.406287174
178,2018,Depression,15,High diversity,270,2.41883336,0.682817032
179,2018,Depression,16,High diversity,700,2.353984213,0.368226377
180,2018,Depression,17,High diversity,270,1.569192583,0.447834984
181,2018,Depression,18,Low diversity,485,2.941713421,0.39787756
182,2018,Depression,19,High diversity,700,1.718840781,0.744040858
183,2018,Depression,2,High diversity,700,4.829766633,0.364263884
184,2018,Depression,20,High diversity,485,1,0.800603665
185,2018,Depression,21,High diversity,970,1.917403479,0.563550019
186,2018,Depression,22,Low diversity,970,1,0.647489214
187,2018,Depression,23,Low diversity,700,1.649384888,0.470824999
188,2018,Depression,24,High diversity,485,2.601152092,0.388050248
189,2018,Depression,25,Low diversity,270,1.991741215,0.887255297
190,2018,Depression,28,High diversity,970,2.069666802,0.404266196
191,2018,Depression,29,Low diversity,970,2.765342096,0.659023234
192,2018,Depression,3,Low diversity,970,4.876014395,0.42423999
193,2018,Depression,30,Low diversity,485,3.335098366,0.236019323
194,2018,Depression,31,Low diversity,700,3.522700671,0.588811777
195,2018,Depression,32,High diversity,270,1.356131413,0.51817788
196,2018,Depression,33,High diversity,970,1.649384888,0.364240898
197,2018,Depression,34,Low diversity,485,3.681581834,0.333623875
198,2018,Depression,35,Low diversity,970,1.859950724,0.405055399
199,2018,Depression,36,Low diversity,485,2.562927771,0.520749612
200,2018,Depression,37,High diversity,270,1,0.70152417
201,2018,Depression,38,High diversity,270,1.754765351,0.68724248
202,2018,Depression,39,Low diversity,485,1.818968512,0.527693385
203,2018,Depression,4,Low diversity,485,1.754765351,0.490509338
204,2018,Depression,40,High diversity,700,1.754765351,0.591972377
205,2018,Depression,41,Low diversity,970,1.798229513,0.398341371
206,2018,Depression,43,High diversity,485,2.41883336,0.675870777
207,2018,Depression,44,Low diversity,700,2.801924886,0.271183939
208,2018,Depression,45,High diversity,700,2.608282241,0.642747363
209,2018,Depression,46,Low diversity,700,2.518946367,0.57714778
210,2018,Depression,47,Low diversity,270,1,0.261190308
211,2018,Depression,48,Low diversity,700,1.716357208,0.369326965
212,2018,Depression,5,Low diversity,270,1,0.168018102
